# File: A_demand_base_food_prices.csv
# Title: Base Year Food Prices
# Units: 2005$/Mcal/day
# Description: Base year staple and nonstaple prices
# Source: GCAM Output
# Column types: cccccnn
# ----------
Units,region,gcam-consumer,nodeinput,input,year,value
2005$/Mcal/day,Russia,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0237964
2005$/Mcal/day,Russia,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0221562
2005$/Mcal/day,Russia,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0227222
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.5086
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.184805
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.184955
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.184982
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.189931
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0214538
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0223061
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0231939
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0230408
2005$/Mcal/day,South Africa,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0230935
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.528525
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.384148
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.460398
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.441082
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.430689
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0611706
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0656466
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0733835
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0574821
2005$/Mcal/day,South America_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.054072
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.405937
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.24534
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.250313
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.248138
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.241187
2005$/Mcal/day,South America_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.033236
