"region","gcam.consumer","subregional.population.share","subregional.income.share","year"
"Argentina","d3",0.1,0.043879838,2015
"Southeast Asia","d8",0.1,0.126425565,2015
"Central Asia","d6",0.1,0.09519652,2015
"Indonesia","d9",0.1,0.151474714,2015
"Brazil","d6",0.1,0.067398927,2015
"China","d6",0.1,0.081169543,2015
"South America_Southern","d7",0.1,0.089001939,2015
"Colombia","d7",0.1,0.083685941,2015
"Africa_Northern","d9",0.1,0.146910488,2015
"Taiwan","d5",0.1,0.083032559,2015
"Europe_Eastern","d7",0.1,0.099437053,2015
"Middle East","d6",0.1,0.07323999,2015
"Japan","d1",0.1,0.026292572,2015
"South America_Northern","d5",0.1,0.071092285,2015
"EU-12","d2",0.1,0.048001544,2015
"Mexico","d5",0.1,0.057955489,2015
"Central Asia","d7",0.1,0.112558694,2015
"South Asia","d9",0.1,0.148901494,2015
"Europe_Non_EU","d5",0.1,0.062916923,2015
"South Korea","d1",0.1,0.030377586,2015
"Argentina","d4",0.1,0.054635358,2015
"Taiwan","d6",0.1,0.093582961,2015
"Brazil","d7",0.1,0.084288882,2015
"China","d7",0.1,0.096110138,2015
"Europe_Eastern","d8",0.1,0.118874982,2015
"Russia","d2",0.1,0.043121198,2015
"South America_Northern","d6",0.1,0.083009533,2015
"Middle East","d7",0.1,0.090591527,2015
"South Africa","d8",0.1,0.096147626,2015
"Taiwan","d7",0.1,0.105979881,2015
"Southeast Asia","d9",0.1,0.181288343,2015
"Colombia","d8",0.1,0.10901254,2015
"Mexico","d6",0.1,0.070195483,2015
"Central America and Caribbean","d9",0.1,0.184945445,2015
"EU-12","d3",0.1,0.059067745,2015
"Europe_Non_EU","d6",0.1,0.075584169,2015
"Central Asia","d8",0.1,0.133930262,2015
"Argentina","d5",0.1,0.066241944,2015
"Europe_Eastern","d9",0.1,0.16889218,2015
"Australia_NZ","d1",0.1,0.027722453,2015
"Canada","d1",0.1,0.03076644,2015
"South America_Southern","d8",0.1,0.118291282,2015
"China","d8",0.1,0.117007169,2015
"South America_Northern","d7",0.1,0.097888859,2015
"USA","d2",0.1,0.026945922,2015
"EU-15","d2",0.1,0.044725772,2015
"Taiwan","d8",0.1,0.122022186,2015
"Brazil","d8",0.1,0.109471232,2015
"Middle East","d8",0.1,0.116814989,2015
"Russia","d3",0.1,0.053965074,2015
"Central Asia","d9",0.1,0.165582447,2015
"Europe_Non_EU","d7",0.1,0.091824509,2015
"Mexico","d7",0.1,0.086479237,2015
"Argentina","d6",0.1,0.079713113,2015
"Japan","d2",0.1,0.043166611,2015
"Southeast Asia","d10",0.1,0.352515977,2015
"South America_Northern","d8",0.1,0.118464502,2015
"EU-12","d4",0.1,0.070113181,2015
"South Korea","d2",0.1,0.048610339,2015
"Taiwan","d9",0.1,0.146644861,2015
"Russia","d4",0.1,0.064003194,2015
"European Free Trade Association","d1",0.1,0.034730808,2015
"China","d9",0.1,0.152615905,2015
"Colombia","d9",0.1,0.156146116,2015
"India","d10",0.1,0.412586656,2015
"Europe_Non_EU","d8",0.1,0.115357124,2015
"Argentina","d7",0.1,0.09672269,2015
"Central Asia","d10",0.1,0.282963724,2015
"Middle East","d9",0.1,0.171484351,2015
"Indonesia","d10",0.1,0.334504276,2015
"USA","d3",0.1,0.037102256,2015
"EU-12","d5",0.1,0.080266816,2015
"South America_Southern","d9",0.1,0.167334415,2015
"EU-15","d3",0.1,0.057061452,2015
"Central America and Caribbean","d10",0.1,0.410922639,2015
"South Africa","d9",0.1,0.157552445,2015
"Mexico","d8",0.1,0.110526086,2015
"Europe_Eastern","d10",0.1,0.241705956,2015
"Russia","d5",0.1,0.07436985,2015
"Africa_Northern","d10",0.1,0.292902173,2015
"Japan","d3",0.1,0.054464325,2015
"Brazil","d9",0.1,0.156142423,2015
"Canada","d2",0.1,0.047796373,2015
"Australia_NZ","d2",0.1,0.04421529,2015
"South Korea","d3",0.1,0.060291104,2015
"South America_Northern","d9",0.1,0.152851915,2015
"EU-12","d6",0.1,0.091330738,2015
"Europe_Non_EU","d9",0.1,0.157312593,2015
"Russia","d6",0.1,0.086049178,2015
"South Asia","d10",0.1,0.334033542,2015
"Argentina","d8",0.1,0.120422094,2015
"Japan","d4",0.1,0.064944984,2015
"EU-15","d4",0.1,0.067282107,2015
"South Korea","d4",0.1,0.070798137,2015
"USA","d4",0.1,0.047504328,2015
"EU-12","d7",0.1,0.104103333,2015
"Canada","d3",0.1,0.058444575,2015
"Australia_NZ","d3",0.1,0.054959526,2015
"Taiwan","d10",0.1,0.225993078,2015
"European Free Trade Association","d2",0.1,0.048784657,2015
"Russia","d7",0.1,0.100401297,2015
"Mexico","d9",0.1,0.154679546,2015
"Japan","d5",0.1,0.07577019,2015
"EU-12","d8",0.1,0.120627116,2015
"South Korea","d5",0.1,0.081386444,2015
"EU-15","d5",0.1,0.077502392,2015
"Canada","d4",0.1,0.067990389,2015
"Australia_NZ","d4",0.1,0.064829582,2015
"USA","d5",0.1,0.059035424,2015
"Argentina","d9",0.1,0.159602406,2015
"Europe_Non_EU","d10",0.1,0.351235882,2015
"Russia","d8",0.1,0.119908805,2015
"European Free Trade Association","d3",0.1,0.061519782,2015
"EU-15","d6",0.1,0.088700327,2015
"South Korea","d6",0.1,0.092993365,2015
"Japan","d6",0.1,0.087907869,2015
"Canada","d5",0.1,0.077617438,2015
"EU-12","d9",0.1,0.147571898,2015
"South America_Southern","d10",0.1,0.379509964,2015
"Australia_NZ","d5",0.1,0.074968125,2015
"China","d10",0.1,0.312808553,2015
"EU-15","d7",0.1,0.102201006,2015
"South Korea","d7",0.1,0.106707662,2015
"European Free Trade Association","d4",0.1,0.070743532,2015
"Canada","d6",0.1,0.088302168,2015
"USA","d6",0.1,0.072754601,2015
"Japan","d7",0.1,0.102663808,2015
"Russia","d9",0.1,0.151729409,2015
"Australia_NZ","d6",0.1,0.086359397,2015
"Middle East","d10",0.1,0.344398712,2015
"South America_Northern","d10",0.1,0.300745855,2015
"EU-15","d8",0.1,0.120922218,2015
"Canada","d7",0.1,0.101279454,2015
"South Korea","d8",0.1,0.124489503,2015
"European Free Trade Association","d5",0.1,0.080741976,2015
"Japan","d8",0.1,0.122433958,2015
"Colombia","d10",0.1,0.411207557,2015
"USA","d7",0.1,0.090614322,2015
"Australia_NZ","d7",0.1,0.100340483,2015
"European Free Trade Association","d6",0.1,0.091578651,2015
"Canada","d8",0.1,0.11875428,2015
"EU-15","d9",0.1,0.148836889,2015
"EU-12","d10",0.1,0.248091747,2015
"South Korea","d9",0.1,0.151176608,2015
"Brazil","d10",0.1,0.406890055,2015
"European Free Trade Association","d7",0.1,0.103919216,2015
"Australia_NZ","d8",0.1,0.119338934,2015
"Japan","d9",0.1,0.153621231,2015
"USA","d8",0.1,0.116309048,2015
"Canada","d9",0.1,0.147403686,2015
"Argentina","d10",0.1,0.327511453,2015
"European Free Trade Association","d8",0.1,0.120553814,2015
"South Africa","d10",0.1,0.541001588,2015
"Mexico","d10",0.1,0.387247265,2015
"Australia_NZ","d9",0.1,0.150488602,2015
"EU-15","d10",0.1,0.262606772,2015
"Russia","d10",0.1,0.279731598,2015
"European Free Trade Association","d9",0.1,0.143740796,2015
"South Korea","d10",0.1,0.233169252,2015
"USA","d9",0.1,0.160905481,2015
"European Free Trade Association","d10",0.1,0.24368677,2015
"Japan","d10",0.1,0.268734451,2015
"Canada","d10",0.1,0.261645196,2015
"Australia_NZ","d10",0.1,0.276777608,2015
"USA","d10",0.1,0.374708174,2015
"Africa_Western","d1",0.1,0.018160645,2020
"Africa_Eastern","d1",0.1,0.016274857,2020
"Africa_Southern","d1",0.1,0.011824551,2020
"Africa_Eastern","d2",0.1,0.024387787,2020
"Africa_Southern","d2",0.1,0.020060863,2020
"Africa_Eastern","d3",0.1,0.033404864,2020
"Africa_Western","d2",0.1,0.027889505,2020
"Central America and Caribbean","d1",0.1,0.012561233,2020
"Africa_Southern","d3",0.1,0.02805406,2020
"Africa_Eastern","d4",0.1,0.042048424,2020
"Africa_Western","d3",0.1,0.039460995,2020
"India","d1",0.1,0.017047431,2020
"Africa_Southern","d4",0.1,0.035391482,2020
"Central Asia","d1",0.1,0.014525725,2020
"South Africa","d1",0.1,0.007516149,2020
"Africa_Eastern","d5",0.1,0.051674101,2020
"Pakistan","d1",0.1,0.035641005,2020
"Africa_Western","d4",0.1,0.048840162,2020
"Southeast Asia","d1",0.1,0.016291548,2020
"Africa_Eastern","d6",0.1,0.063264268,2020
"Africa_Southern","d5",0.1,0.044598858,2020
"South America_Southern","d1",0.1,0.01639319,2020
"Africa_Western","d5",0.1,0.059573537,2020
"Africa_Eastern","d7",0.1,0.078916214,2020
"India","d2",0.1,0.028878107,2020
"Africa_Southern","d6",0.1,0.05499155,2020
"Pakistan","d2",0.1,0.052377299,2020
"Central America and Caribbean","d2",0.1,0.021621508,2020
"Africa_Western","d6",0.1,0.072529681,2020
"Indonesia","d1",0.1,0.026261015,2020
"Africa_Eastern","d8",0.1,0.102379507,2020
"Southeast Asia","d2",0.1,0.026979879,2020
"Pakistan","d3",0.1,0.061945874,2020
"South Africa","d2",0.1,0.014270475,2020
"India","d3",0.1,0.037729352,2020
"Colombia","d1",0.1,0.016864003,2020
"Africa_Western","d7",0.1,0.088518048,2020
"Africa_Southern","d7",0.1,0.073000264,2020
"Pakistan","d4",0.1,0.070137806,2020
"Central America and Caribbean","d3",0.1,0.028871119,2020
"South Asia","d1",0.1,0.027401218,2020
"Central Asia","d2",0.1,0.023755382,2020
"Brazil","d1",0.1,0.016815327,2020
"Middle East","d1",0.1,0.023219183,2020
"Pakistan","d5",0.1,0.078132785,2020
"India","d4",0.1,0.046726351,2020
"Africa_Eastern","d9",0.1,0.143753072,2020
"Pakistan","d6",0.1,0.086931158,2020
"Africa_Western","d8",0.1,0.114554815,2020
"Africa_Northern","d1",0.1,0.03380882,2020
"Africa_Southern","d8",0.1,0.105245156,2020
"Southeast Asia","d3",0.1,0.035002023,2020
"South Africa","d3",0.1,0.020698322,2020
"Indonesia","d2",0.1,0.040645187,2020
"Pakistan","d7",0.1,0.097748563,2020
"India","d5",0.1,0.056700706,2020
"Central America and Caribbean","d4",0.1,0.037377453,2020
"South America_Southern","d2",0.1,0.02636504,2020
"Pakistan","d8",0.1,0.112681519,2020
"Colombia","d2",0.1,0.028608253,2020
"Indonesia","d3",0.1,0.049950302,2020
"South Asia","d2",0.1,0.041827481,2020
"Central Asia","d3",0.1,0.038375594,2020
"India","d6",0.1,0.068751642,2020
"Europe_Non_EU","d1",0.1,0.023176046,2020
"Mexico","d1",0.1,0.020236915,2020
"Africa_Western","d9",0.1,0.162000504,2020
"Central America and Caribbean","d5",0.1,0.048410683,2020
"Southeast Asia","d4",0.1,0.044827439,2020
"South Africa","d4",0.1,0.028254801,2020
"Europe_Eastern","d1",0.1,0.036905824,2020
"Brazil","d2",0.1,0.028777848,2020
"Africa_Northern","d2",0.1,0.049093677,2020
"Indonesia","d4",0.1,0.058637092,2020
"Middle East","d2",0.1,0.035597236,2020
"South America_Northern","d1",0.1,0.029827676,2020
"Pakistan","d9",0.1,0.139397538,2020
"South Asia","d3",0.1,0.050968956,2020
"China","d1",0.1,0.027889881,2020
"Africa_Southern","d9",0.1,0.178123748,2020
"India","d7",0.1,0.084922536,2020
"Colombia","d3",0.1,0.037421903,2020
"Southeast Asia","d5",0.1,0.057575062,2020
"South America_Southern","d3",0.1,0.036894352,2020
"Indonesia","d5",0.1,0.067717034,2020
"Africa_Northern","d3",0.1,0.058380805,2020
"Central America and Caribbean","d6",0.1,0.062685987,2020
"South Asia","d4",0.1,0.0594192,2020
"Africa_Western","d10",0.1,0.368472107,2020
"South Africa","d5",0.1,0.037438717,2020
"Argentina","d1",0.1,0.024932828,2020
"Middle East","d3",0.1,0.043888503,2020
"Brazil","d3",0.1,0.037775083,2020
"Africa_Northern","d4",0.1,0.06597203,2020
"Indonesia","d6",0.1,0.078236489,2020
"Southeast Asia","d6",0.1,0.075693594,2020
"Colombia","d4",0.1,0.046399331,2020
"Europe_Eastern","d2",0.1,0.052235658,2020
"South America_Southern","d4",0.1,0.046367562,2020
"Central Asia","d4",0.1,0.061186578,2020
"India","d8",0.1,0.109018624,2020
"South Asia","d5",0.1,0.068195445,2020
"Mexico","d2",0.1,0.032739024,2020
"Africa_Northern","d5",0.1,0.074118291,2020
"Africa_Eastern","d10",0.1,0.443896906,2020
"EU-12","d1",0.1,0.035370724,2020
"Africa_Southern","d10",0.1,0.448709468,2020
"Taiwan","d1",0.1,0.039901455,2020
"South America_Northern","d2",0.1,0.045198422,2020
"Indonesia","d7",0.1,0.091813315,2020
"Central America and Caribbean","d7",0.1,0.08204146,2020
"Brazil","d4",0.1,0.046921815,2020
"Middle East","d4",0.1,0.052381332,2020
"Europe_Eastern","d3",0.1,0.061036599,2020
"South Asia","d6",0.1,0.078346148,2020
"China","d2",0.1,0.04299212,2020
"Africa_Northern","d6",0.1,0.083253362,2020
"Europe_Non_EU","d2",0.1,0.036726399,2020
"South Africa","d6",0.1,0.049480778,2020
"Colombia","d5",0.1,0.056366414,2020
"South America_Southern","d5",0.1,0.058581482,2020
"Europe_Eastern","d4",0.1,0.068493217,2020
"Southeast Asia","d7",0.1,0.092781141,2020
"Africa_Northern","d7",0.1,0.094714564,2020
"Mexico","d3",0.1,0.041576847,2020
"South America_Northern","d3",0.1,0.054677703,2020
"South Asia","d7",0.1,0.0914708,2020
"Indonesia","d8",0.1,0.111379681,2020
"Brazil","d5",0.1,0.057056934,2020
"Europe_Eastern","d5",0.1,0.075058254,2020
"Pakistan","d10",0.1,0.265006452,2020
"India","d9",0.1,0.153922974,2020
"China","d3",0.1,0.052591443,2020
"Europe_Non_EU","d3",0.1,0.045729075,2020
"Argentina","d2",0.1,0.039244641,2020
"Central Asia","d5",0.1,0.078669562,2020
"Colombia","d6",0.1,0.068424552,2020
"EU-15","d1",0.1,0.034017355,2020
"Middle East","d5",0.1,0.061916252,2020
"Central America and Caribbean","d8",0.1,0.116249308,2020
"Africa_Northern","d8",0.1,0.111816943,2020
"Europe_Eastern","d6",0.1,0.084657003,2020
"South America_Northern","d4",0.1,0.063243028,2020
"Taiwan","d2",0.1,0.057822548,2020
"South Africa","d7",0.1,0.067169366,2020
"Mexico","d4",0.1,0.050312719,2020
"South Asia","d8",0.1,0.110452392,2020
"South America_Southern","d6",0.1,0.07196793,2020
"Russia","d1",0.1,0.03210759,2020
"China","d4",0.1,0.061416285,2020
"Middle East","d6",0.1,0.072037949,2020
"Brazil","d6",0.1,0.069274812,2020
"Southeast Asia","d8",0.1,0.127761642,2020
"Europe_Non_EU","d4",0.1,0.054800808,2020
"Central Asia","d6",0.1,0.093565731,2020
"South America_Northern","d5",0.1,0.07197539,2020
"Argentina","d3",0.1,0.048721653,2020
"USA","d1",0.1,0.019187667,2020
"Colombia","d7",0.1,0.084630049,2020
"Indonesia","d9",0.1,0.147051169,2020
"Taiwan","d3",0.1,0.067604235,2020
"Europe_Eastern","d7",0.1,0.097566762,2020
"China","d5",0.1,0.070525989,2020
"Mexico","d5",0.1,0.059827703,2020
"South America_Southern","d7",0.1,0.088824126,2020
"Africa_Northern","d9",0.1,0.144468857,2020
"Middle East","d7",0.1,0.088095916,2020
"South America_Northern","d6",0.1,0.081900747,2020
"Central Asia","d7",0.1,0.10809734,2020
"Europe_Non_EU","d5",0.1,0.064373287,2020
"Taiwan","d4",0.1,0.075655645,2020
"Japan","d1",0.1,0.03293734,2020
"Brazil","d7",0.1,0.085604984,2020
"Argentina","d4",0.1,0.057667109,2020
"South Asia","d9",0.1,0.145472847,2020
"EU-12","d2",0.1,0.051931646,2020
"China","d6",0.1,0.080949162,2020
"Taiwan","d5",0.1,0.083239884,2020
"Mexico","d6",0.1,0.071209428,2020
"Europe_Eastern","d8",0.1,0.115717419,2020
"South Africa","d8",0.1,0.095736161,2020
"Central America and Caribbean","d9",0.1,0.179845595,2020
"South America_Northern","d7",0.1,0.094472473,2020
"Colombia","d8",0.1,0.108813171,2020
"Central Asia","d8",0.1,0.131976963,2020
"Southeast Asia","d9",0.1,0.177506194,2020
"Europe_Non_EU","d6",0.1,0.075627124,2020
"Middle East","d8",0.1,0.11472855,2020
"Argentina","d5",0.1,0.06708438,2020
"Taiwan","d6",0.1,0.091332727,2020
"Russia","d2",0.1,0.048234092,2020
"South Korea","d1",0.1,0.037903381,2020
"EU-12","d3",0.1,0.062254098,2020
"China","d7",0.1,0.094195053,2020
"Canada","d1",0.1,0.034874205,2020
"South America_Southern","d8",0.1,0.116569863,2020
"Europe_Eastern","d9",0.1,0.16905208,2020
"Brazil","d8",0.1,0.109832522,2020
"Australia_NZ","d1",0.1,0.032627799,2020
"EU-15","d2",0.1,0.048303896,2020
"Taiwan","d7",0.1,0.100952543,2020
"South America_Northern","d8",0.1,0.112285174,2020
"Mexico","d7",0.1,0.086380573,2020
"Europe_Non_EU","d7",0.1,0.090101547,2020
"Argentina","d6",0.1,0.078018117,2020
"European Free Trade Association","d1",0.1,0.038079031,2020
"Central Asia","d9",0.1,0.163661642,2020
"USA","d2",0.1,0.031991253,2020
"Russia","d3",0.1,0.057925103,2020
"China","d8",0.1,0.112984178,2020
"Taiwan","d8",0.1,0.113791269,2020
"Southeast Asia","d10",0.1,0.345581478,2020
"Japan","d2",0.1,0.049325607,2020
"Middle East","d9",0.1,0.166835397,2020
"EU-12","d4",0.1,0.071870793,2020
"Colombia","d9",0.1,0.153965201,2020
"Central America and Caribbean","d10",0.1,0.410335654,2020
"Europe_Non_EU","d8",0.1,0.111258431,2020
"Argentina","d7",0.1,0.092110497,2020
"Russia","d4",0.1,0.066503293,2020
"EU-15","d3",0.1,0.059572761,2020
"Mexico","d8",0.1,0.108889814,2020
"South America_Northern","d9",0.1,0.144385961,2020
"India","d10",0.1,0.39630228,2020
"EU-12","d5",0.1,0.08107755,2020
"South Africa","d9",0.1,0.154561212,2020
"Taiwan","d9",0.1,0.136230679,2020
"South Korea","d2",0.1,0.055437846,2020
"Central Asia","d10",0.1,0.286185482,2020
"Japan","d3",0.1,0.059083013,2020
"South America_Southern","d9",0.1,0.16471919,2020
"Brazil","d9",0.1,0.154617414,2020
"Canada","d2",0.1,0.051783737,2020
"USA","d3",0.1,0.041252673,2020
"Africa_Northern","d10",0.1,0.284372651,2020
"Russia","d5",0.1,0.075101632,2020
"Europe_Eastern","d10",0.1,0.239277184,2020
"China","d9",0.1,0.146544891,2020
"Indonesia","d10",0.1,0.328308717,2020
"Australia_NZ","d2",0.1,0.048912497,2020
"EU-12","d6",0.1,0.09034275,2020
"Argentina","d8",0.1,0.112355985,2020
"EU-15","d4",0.1,0.068993181,2020
"Europe_Non_EU","d9",0.1,0.150766714,2020
"Japan","d4",0.1,0.067656274,2020
"South Korea","d3",0.1,0.065255224,2020
"Russia","d6",0.1,0.084729088,2020
"Canada","d3",0.1,0.061624096,2020
"EU-12","d7",0.1,0.101744927,2020
"USA","d4",0.1,0.050452341,2020
"EU-15","d5",0.1,0.078280016,2020
"Japan","d5",0.1,0.076196475,2020
"European Free Trade Association","d2",0.1,0.05144064,2020
"Mexico","d9",0.1,0.150979385,2020
"South Asia","d10",0.1,0.326445514,2020
"South America_Southern","d10",0.1,0.373317266,2020
"Australia_NZ","d3",0.1,0.058640386,2020
"South Korea","d4",0.1,0.073494814,2020
"Russia","d7",0.1,0.096718229,2020
"Canada","d4",0.1,0.070120913,2020
"EU-12","d8",0.1,0.115672376,2020
"EU-15","d6",0.1,0.088404914,2020
"Japan","d6",0.1,0.085706819,2020
"Argentina","d9",0.1,0.148827707,2020
"South Korea","d5",0.1,0.081390784,2020
"Australia_NZ","d4",0.1,0.067211205,2020
"USA","d5",0.1,0.060486527,2020
"Canada","d5",0.1,0.078462151,2020
"European Free Trade Association","d3",0.1,0.063327122,2020
"Russia","d8",0.1,0.113420994,2020
"Europe_Non_EU","d10",0.1,0.34744057,2020
"EU-12","d9",0.1,0.140969917,2020
"South Korea","d6",0.1,0.089925104,2020
"Japan","d7",0.1,0.097477573,2020
"Australia_NZ","d5",0.1,0.075768924,2020
"EU-15","d7",0.1,0.099956981,2020
"Taiwan","d10",0.1,0.233469015,2020
"Canada","d6",0.1,0.08764039,2020
"South Korea","d7",0.1,0.100187498,2020
"USA","d6",0.1,0.072430198,2020
"European Free Trade Association","d4",0.1,0.072082703,2020
"Australia_NZ","d6",0.1,0.085319085,2020
"Japan","d8",0.1,0.113775215,2020
"EU-15","d8",0.1,0.116793376,2020
